name,district,lat,lon,flats,pop,dist_all,dist_public,openness_penalty,category_all,category_public
Hing Wah (2) Estate,Eastern,22.26236,114.23359,3600,9720,47.90428302428001,47.90428302428001,0.0,Well,Well
Hong Tung Estate,Eastern,22.28436,114.22232,500,1350,27.414697901178293,27.414697901178293,0.0,Well,Well
Model Housing Estate,Eastern,22.29103,114.20824,700,1890,39.75955480956728,39.75955480956728,0.0,Well,Well
Oi Tung Estate,Eastern,22.28173,114.22737,3900,10530,37.14192519580636,37.14192519580636,0.0,Well,Well
Siu Sai Wan Estate,Eastern,22.26133,114.24849,6100,16470,72.09292833659987,72.09292833659987,0.0,Well,Well
Tsui Lok Estate,Eastern,22.26748,114.24037,300,810,3.745980517016308,3.745980517016308,0.0,Well,Well
Tsui Wan Estate,Eastern,22.26825,114.24061,300,810,23.77686169603238,88.69600608616007,64.91914439012768,Well,Well
Wan Tsui Estate,Eastern,22.26278,114.2392,3700,9990,41.25044015949136,41.25044015949136,0.0,Well,Well
Yiu Tung Estate,Eastern,22.27812,114.2252,5200,14040,14.588086278935112,14.588086278935112,0.0,Well,Well
Sun Chui Estate,Sha Tin,22.36916,114.18233,6600,17820,12.328309363203685,12.328309363203685,0.0,Well,Well
Sun Tin Wai Estate,Sha Tin,22.37049,114.18734,3400,9180,65.73132966616355,65.73132966616355,0.0,Well,Well
Po Tin Estate,Tuen Mun,22.41024,113.96667,4200,11340,38.134594370696426,38.134594370696426,0.0,Well,Well
Wo Che Estate,Sha Tin,22.388493,114.19636,6300,17010,36.81830803741152,75.86333989203095,39.04503185461943,Well,Well
Sam Shing Estate,Tuen Mun,22.38107,113.97811,1800,4860,25.920260679571903,25.920260679571903,0.0,Well,Well
Yiu On Estate,Sha Tin,22.41887,114.23029,500,1350,123.55595694418838,123.55595694418838,0.0,Well,Well
Wing Cheong Estate,Sham Shui Po,22.32916,114.15537,1500,4050,37.07386123592092,37.07386123592092,0.0,Well,Well
Choi Yuen Estate,North,22.50167,114.12579,5100,13770,8.74780466152693,8.74780466152693,0.0,Well,Well
Tai Ping Estate,North,22.49797,114.12668,100,270,28.83936414658362,136.85446393047195,108.01509978388833,Well,Well
Tin Ping Estate,North,22.50348,114.13229,500,1350,106.8157685765888,107.74574071456355,0.9299721379747581,Well,Well
Wah Ming Estate,North,22.48455,114.14015,700,1890,1.5203202577120283,124.77321350448668,123.25289324677465,Well,Well
Wah Sum Estate,North,22.48584,114.14325,1500,4050,5.958991343747034,5.958991343747034,0.0,Well,Well
Yung Shing Court,North,22.48264,114.13775,1700,4590,38.3936055855349,169.24755306837378,130.85394748283886,Well,Well
Ma Hang Estate,Southern,22.22169,114.20701,900,2430,42.86646312488207,42.86646312488207,0.0,Well,Well
Shek Pai Wan Estate,Southern,22.24933,114.15726,5300,14310,29.22593587720987,29.22593587720987,0.0,Well,Well
Wah Fu (I) Estate,Southern,22.25017,114.13744,4800,12960,0.8883346093864691,0.8883346093864691,0.0,Well,Well
